ds,y
2007/12/10,9.590761139
2007/12/11,8.519590316
2007/12/12,8.183676583
2007/12/13,8.072467369
2007/12/14,7.893572074
2007/12/15,7.783640596
2007/12/16,8.414052432
2007/12/17,8.829226355
2007/12/18,8.382518288
2007/12/19,8.069655307
2007/12/20,7.879291485
2007/12/21,7.761744985
2007/12/22,7.529406458
2007/12/23,8.38526052
2007/12/24,8.620110725
2007/12/25,7.852439085
2007/12/26,7.853993087
2007/12/27,8.051978079
2007/12/28,7.926602599
2007/12/29,7.838343316
2007/12/30,9.703144581
2007/12/31,9.385972941
2008/1/1,8.293799609
2008/1/2,8.43468077
2008/1/3,8.262042844
2008/1/4,8.106816039
2008/1/5,7.950149888
2008/1/6,9.509259076
2008/1/7,8.846784667
2008/1/8,8.430545385
2008/1/9,8.248267447
2008/1/10,8.28172399
2008/1/11,8.292798858
2008/1/12,8.199189359
2008/1/13,9.996522419
2008/1/14,10.12707101
2008/1/15,8.933796044
2008/1/16,8.566173814
2008/1/17,8.547722396
2008/1/18,8.399760095
2008/1/19,8.223090551
2008/1/20,8.838986793
2008/1/21,10.89720218
2008/1/22,9.444938073
2008/1/23,8.923324744
2008/1/24,8.543445563
2008/1/25,8.495560891
2008/1/26,8.417372856
2008/1/27,8.572627898
2008/1/28,8.736489351
2008/1/29,8.634086943
2008/1/30,8.673512946
2008/2/1,8.824236617
2008/2/2,8.537975731
2008/2/3,9.698061122
2008/2/4,12.09745684
2008/2/5,10.63527836
2008/2/6,9.691716588
2008/2/7,9.315600883
2008/2/8,8.970813341
2008/2/9,8.589141691
2008/2/10,8.617400452
2008/2/11,8.616314282
2008/2/12,8.215547412
2008/2/13,8.064950892
2008/2/14,8.11342664
2008/2/15,7.799343398
2008/2/16,7.62754439
2008/2/17,7.555905094
2008/2/18,7.71154898
2008/2/19,7.788626066
2008/2/20,7.708410667
2008/2/21,7.768533301
2008/2/22,7.695303135
2008/2/23,7.378383713
2008/2/24,7.910590612
2008/2/25,7.626570206
2008/2/26,7.573531263
2008/2/27,7.567862605
2008/2/29,7.552237288
2008/3/2,7.336936914
2008/3/5,8.12474302
2008/3/6,7.887584032
2008/3/7,7.819636302
2008/3/8,7.383989458
2008/3/9,7.814399634
2008/3/10,7.542213463
2008/3/11,7.548555979
2008/3/12,7.688913337
2008/3/13,7.477038472
2008/3/14,7.358830898
2008/3/15,7.032624261
2008/3/16,7.118016204
2008/3/17,7.349873705
2008/3/18,7.326465614
2008/3/19,7.363913501
2008/3/20,7.277938573
2008/3/21,7.251344983
2008/3/22,7.002155954
2008/3/23,7.163946684
2008/3/24,7.759187439
2008/3/25,7.518607217
2008/3/26,7.41397029
2008/3/27,7.442492723
2008/3/28,7.228388452
2008/3/29,6.991176887
2008/3/30,7.211556733
2008/3/31,7.311218384
2008/4/1,7.349230825
2008/4/2,7.514254653
2008/4/3,7.393263095
2008/4/4,7.286191715
2008/4/5,7.273092596
2008/4/6,7.168579897
2008/4/7,7.611347717
2008/4/8,7.617759577
2008/4/9,7.425953657
2008/4/10,8.182000136
2008/4/11,7.399398083
2008/4/12,7.106606138
2008/4/13,7.080867897
2008/4/14,7.421177529
2008/4/15,7.491645474
2008/4/16,7.385851078
2008/4/17,7.68294317
2008/4/18,7.688913337
2008/4/19,7.259116128
2008/4/20,8.144969417
2008/4/21,8.713910628
2008/4/22,8.091015042
2008/4/23,7.840312983
2008/4/24,7.648739789
2008/4/25,8.020927719
2008/4/26,7.830028083
2008/4/27,7.72753511
2008/4/28,7.835974582
2008/4/29,7.626570206
2008/4/30,7.644440762
2008/5/1,7.548555979
2008/5/2,7.440733707
2008/5/3,7.073269717
2008/5/4,7.026426809
2008/5/5,7.392031568
2008/5/6,7.29301768
2008/5/7,7.361375429
2008/5/8,7.512617545
2008/5/9,7.460490306
2008/5/10,7.114769448
2008/5/11,7.125283092
2008/5/12,7.455876687
2008/5/13,7.317212408
2008/5/14,7.410347098
2008/5/15,7.402451521
2008/5/16,7.294377299
2008/5/17,6.989335266
2008/5/18,6.993015123
2008/5/19,7.431299675
2008/5/20,7.362010551
2008/5/21,7.454719949
2008/5/22,7.368339686
2008/5/23,7.143617603
2008/5/24,6.835184586
2008/5/25,6.89060912
2008/5/26,6.974478911
2008/5/27,7.26612878
2008/5/28,7.270312886
2008/5/29,7.265429723
2008/5/30,7.157735484
2008/5/31,6.865891075
2008/6/3,7.153833802
2008/6/4,7.216709487
2008/6/5,7.201916318
2008/6/6,7.212294469
2008/6/7,7.186144305
2008/6/8,6.820016365
2008/6/9,6.882437471
2008/6/10,7.183111702
2008/6/11,7.242797923
2008/6/12,7.192934221
2008/6/13,7.183870715
2008/6/14,6.970730078
2008/6/15,6.91770561
2008/6/16,7.222566019
2008/6/17,7.356918242
2008/6/18,7.242797923
2008/6/19,7.22329568
2008/6/20,7.163172391
2008/6/21,7.241366283
2008/6/22,6.986566459
2008/6/23,6.963189986
2008/6/24,7.250635512
2008/6/25,7.160845907
2008/6/26,7.132497552
2008/6/27,7.091742115
2008/6/28,7.012115294
2008/6/29,6.857514063
2008/6/30,6.827629235
2008/7/2,7.13009851
2008/7/3,7.277247727
2008/7/4,7.038783541
2008/7/5,6.89060912
2008/7/6,6.957497371
2008/7/7,7.295735073
2008/7/8,7.497207223
2008/7/9,7.310550159
2008/7/10,7.20489251
2008/7/11,7.222566019
2008/7/12,7.257707677
2008/8/1,7.425953657
2008/8/2,7.117205503
2008/8/3,7.249925537
2008/8/4,8.276903481
2008/8/5,7.60638739
2008/8/6,7.643961949
2008/8/7,8.012349639
2008/8/8,7.930206207
2008/8/9,7.508787171
2008/8/10,7.52131798
2008/8/11,7.589841512
2008/8/12,7.500529485
2008/8/13,7.370230642
2008/8/14,7.385230923
2008/8/15,7.302496424
2008/8/16,7.275172319
2008/8/17,7.392031568
2008/8/18,7.516977225
2008/8/19,7.909122183
2008/8/20,7.723120092
2008/8/21,7.670428522
2008/8/22,7.62900389
2008/8/23,7.430707083
2008/8/24,7.579678823
2008/8/25,7.948385285
2008/8/26,7.795646536
2008/8/27,8.007367068
2008/8/28,7.790696031
2008/8/29,7.832807517
2008/8/30,7.51479976
2008/8/31,7.62754439
2008/9/1,7.855157006
2008/9/2,7.964850887
2008/9/3,7.74586823
2008/9/4,8.08085642
2008/9/5,8.25997566
2008/9/6,7.769800996
2008/9/7,8.177515824
2008/9/8,9.281730368
2008/9/9,8.33854488
2008/9/10,7.830425618
2008/9/11,7.808729307
2008/9/12,7.816819966
2008/9/13,7.554858521
2008/9/14,8.555066844
2008/9/15,8.207946941
2008/9/16,8.083637203
2008/9/17,7.791109511
2008/9/18,7.670894831
2008/9/19,7.640123173
2008/9/20,7.550135342
2008/9/21,8.249313746
